Loading images: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 58067/58067 [02:06<00:00, 460.39it/s, Loaded=58067]
Loading images: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 6452/6452 [00:14<00:00, 441.93it/s, Loaded=6452]
                                                                                                                                                                                                                                       
Epoch [1/20], Train AUC: 0.6472, Train Acc: 0.2413, Train Loss: 0.4102, Val AUC: 0.6674, Val Acc: 0.2666, Val Loss: 0.4072
Epoch [2/20], Train AUC: 0.6695, Train Acc: 0.2612, Train Loss: 0.3991, Val AUC: 0.6877, Val Acc: 0.2538, Val Loss: 0.3954
Epoch [3/20], Train AUC: 0.6937, Train Acc: 0.2862, Train Loss: 0.3909, Val AUC: 0.7114, Val Acc: 0.2994, Val Loss: 0.3867
Epoch [4/20], Train AUC: 0.7086, Train Acc: 0.3081, Train Loss: 0.3845, Val AUC: 0.7253, Val Acc: 0.3347, Val Loss: 0.3830
Epoch [5/20], Train AUC: 0.7178, Train Acc: 0.3159, Train Loss: 0.3810, Val AUC: 0.7230, Val Acc: 0.3226, Val Loss: 0.3834
Epoch [6/20], Train AUC: 0.7237, Train Acc: 0.3205, Train Loss: 0.3786, Val AUC: 0.7282, Val Acc: 0.3193, Val Loss: 0.3801
Epoch [7/20], Train AUC: 0.7295, Train Acc: 0.3254, Train Loss: 0.3762, Val AUC: 0.7356, Val Acc: 0.3204, Val Loss: 0.3768
Epoch [8/20], Train AUC: 0.7324, Train Acc: 0.3278, Train Loss: 0.3750, Val AUC: 0.7391, Val Acc: 0.3384, Val Loss: 0.3762
Epoch [9/20], Train AUC: 0.7367, Train Acc: 0.3299, Train Loss: 0.3734, Val AUC: 0.7466, Val Acc: 0.3295, Val Loss: 0.3724
Epoch [10/20], Train AUC: 0.7400, Train Acc: 0.3333, Train Loss: 0.3717, Val AUC: 0.7475, Val Acc: 0.3252, Val Loss: 0.3729
Epoch [11/20], Train AUC: 0.7430, Train Acc: 0.3362, Train Loss: 0.3706, Val AUC: 0.7463, Val Acc: 0.3229, Val Loss: 0.3719
Epoch [12/20], Train AUC: 0.7455, Train Acc: 0.3402, Train Loss: 0.3693, Val AUC: 0.7426, Val Acc: 0.3223, Val Loss: 0.3864
Epoch [13/20], Train AUC: 0.7473, Train Acc: 0.3442, Train Loss: 0.3682, Val AUC: 0.7531, Val Acc: 0.3509, Val Loss: 0.3681
Epoch [14/20], Train AUC: 0.7491, Train Acc: 0.3485, Train Loss: 0.3674, Val AUC: 0.7487, Val Acc: 0.3353, Val Loss: 0.3742
Epoch [15/20], Train AUC: 0.7518, Train Acc: 0.3498, Train Loss: 0.3664, Val AUC: 0.7499, Val Acc: 0.3447, Val Loss: 0.3720
Epoch [16/20], Train AUC: 0.7530, Train Acc: 0.3520, Train Loss: 0.3658, Val AUC: 0.7529, Val Acc: 0.3473, Val Loss: 0.3741
Epoch [17/20], Train AUC: 0.7554, Train Acc: 0.3554, Train Loss: 0.3652, Val AUC: 0.7500, Val Acc: 0.3531, Val Loss: 0.3769
Epoch [18/20], Train AUC: 0.7564, Train Acc: 0.3585, Train Loss: 0.3644, Val AUC: 0.7581, Val Acc: 0.3628, Val Loss: 0.3677
Epoch [19/20], Train AUC: 0.7579, Train Acc: 0.3609, Train Loss: 0.3639, Val AUC: 0.7589, Val Acc: 0.3812, Val Loss: 0.3664
Epoch [20/20], Train AUC: 0.7593, Train Acc: 0.3622, Train Loss: 0.3633, Val AUC: 0.7590, Val Acc: 0.3560, Val Loss: 0.3691
